date,price
03-04-2018,7080
04-04-2018,7464
05-04-2018,6845
06-04-2018,6855
07-04-2018,6629
08-04-2018,6884
09-04-2018,6985
10-04-2018,6778
11-04-2018,6829
12-04-2018,6925
13-04-2018,7836
14-04-2018,7846
15-04-2018,7898
16-04-2018,8258
17-04-2018,8031
18-04-2018,7874
19-04-2018,8097
20-04-2018,8277
21-04-2018,8499
22-04-2018,8878
23-04-2018,8769
24-04-2018,8881
25-04-2018,9716
26-04-2018,8825
27-04-2018,9222
28-04-2018,8940
29-04-2018,9250
30-04-2018,9326
01-05-2018,9198
02-05-2018,9024
03-05-2018,9123
04-05-2018,9551
05-05-2018,9635
06-05-2018,9766
07-05-2018,9584
08-05-2018,9308
09-05-2018,9150
10-05-2018,9249
11-05-2018,8970
12-05-2018,8406
13-05-2018,8481
14-05-2018,8684
15-05-2018,8697
16-05-2018,8473
17-05-2018,8343
18-05-2018,8056
19-05-2018,8203
20-05-2018,8181
21-05-2018,8443
22-05-2018,8355
23-05-2018,8009
24-05-2018,7556
25-05-2018,7563
26-05-2018,7472
27-05-2018,7329
28-05-2018,7327
29-05-2018,7111
30-05-2018,7451
31-05-2018,7381
01-06-2018,7460
02-06-2018,7487
03-06-2018,7568
04-06-2018,7640
05-06-2018,7464
06-06-2018,7569
07-06-2018,7606
08-06-2018,7614
09-06-2018,7561
10-06-2018,7415
11-06-2018,6767
12-06-2018,6880
13-06-2018,6582
14-06-2018,6334
15-06-2018,6645
16-06-2018,6407
17-06-2018,6479
18-06-2018,6419
19-06-2018,6678
20-06-2018,6709
21-06-2018,6714
22-06-2018,6691
23-06-2018,6089
24-06-2018,6169
25-06-2018,6160
26-06-2018,6242
27-06-2018,6070
28-06-2018,6117
29-06-2018,5880
30-06-2018,6182
01-07-2018,6366
02-07-2018,6313
03-07-2018,6596
04-07-2018,6498
05-07-2018,6563
06-07-2018,6538
07-07-2018,6603
08-07-2018,6760
09-07-2018,6701
10-07-2018,6648
11-07-2018,6303
12-07-2018,6373
13-07-2018,6231
14-07-2018,6248
15-07-2018,6246
16-07-2018,6350
17-07-2018,6742
18-07-2018,7303
19-07-2018,7335
20-07-2018,7443
21-07-2018,7332
22-07-2018,7379
23-07-2018,7396
24-07-2018,7705
25-07-2018,8422
26-07-2018,8145
27-07-2018,7929
28-07-2018,8145
29-07-2018,8192
30-07-2018,8198
31-07-2018,8186
01-08-2018,7738
02-08-2018,7612
03-08-2018,7541
04-08-2018,7412
05-08-2018,7009
06-08-2018,7037
07-08-2018,6926
08-08-2018,6712
09-08-2018,6260
10-08-2018,6531
11-08-2018,6167
12-08-2018,6205
13-08-2018,6318
14-08-2018,6284
15-08-2018,6212
16-08-2018,6268
17-08-2018,6309
18-08-2018,6567
19-08-2018,6382
20-08-2018,6475
21-08-2018,6243
22-08-2018,6467
23-08-2018,6337
24-08-2018,6521
25-08-2018,6684
26-08-2018,6736
27-08-2018,6728
28-08-2018,6911
29-08-2018,7076
30-08-2018,7047
31-08-2018,7024
01-09-2018,7028
02-09-2018,7211
03-09-2018,7305
04-09-2018,7261
05-09-2018,7359
06-09-2018,6765
07-09-2018,6498
08-09-2018,6398
09-09-2018,6181
10-09-2018,6261
11-09-2018,6308
12-09-2018,6279
13-09-2018,6331
14-09-2018,6486
15-09-2018,6500
16-09-2018,6530
17-09-2018,6506
18-09-2018,6250
19-09-2018,6347
20-09-2018,6384
21-09-2018,6492
22-09-2018,6754
23-09-2018,6747
24-09-2018,6711
25-09-2018,6596
26-09-2018,6441
27-09-2018,6463
28-09-2018,6705
29-09-2018,6635
30-09-2018,6606
01-10-2018,6626
02-10-2018,6599
03-10-2018,6525
04-10-2018,6499
05-10-2018,6579
06-10-2018,6621
07-10-2018,6589
08-10-2018,6585
09-10-2018,6653
10-10-2018,6634
11-10-2018,6582
12-10-2018,6234
13-10-2018,6286
14-10-2018,6315
15-10-2018,6329
16-10-2018,6660
17-10-2018,6635
18-10-2018,6636
19-10-2018,6518
20-10-2018,6484
21-10-2018,6533
22-10-2018,6530
23-10-2018,6513
24-10-2018,6473
25-10-2018,6481
26-10-2018,6458
27-10-2018,6469
28-10-2018,6457
29-10-2018,6481
30-10-2018,6293
31-10-2018,6332
01-11-2018,6367
02-11-2018,6380
03-11-2018,6425
04-11-2018,6388
05-11-2018,6351
06-11-2018,6415
07-11-2018,6475
08-11-2018,6575
09-11-2018,6490
10-11-2018,6414
11-11-2018,6430
12-11-2018,6434
13-11-2018,6411
14-11-2018,6394
15-11-2018,5789
16-11-2018,5687
17-11-2018,5610
18-11-2018,5599
19-11-2018,5639
20-11-2018,4889
21-11-2018,4451
22-11-2018,4613
23-11-2018,4307
24-11-2018,4377
25-11-2018,3896
26-11-2018,4040
27-11-2018,3812
28-11-2018,3833
29-11-2018,4267
30-11-2018,4279
01-12-2018,4010
02-12-2018,4190
03-12-2018,4125
04-12-2018,3879
05-12-2018,3944
06-12-2018,3752
07-12-2018,3467
08-12-2018,3409
